date,sku,warehouse_id,category,on_hand_qty,on_order_qty,avg_sales_7d,avg_sales_30d,demand_volatility_30d,days_of_supply,base_lead_time_days,reliability_score,unit_cost,stockout_within_14d
2023-07-18,SKU0001,1,HomeGoods,337,0,9.0,10.27,3.19,32.82,17,0.98,26.47,0
2023-07-25,SKU0001,1,HomeGoods,270,0,9.57,10.1,3.23,26.73,17,0.98,26.47,0
2023-08-01,SKU0001,1,HomeGoods,203,0,9.57,9.6,3.07,21.15,17,0.98,26.47,0
2023-08-08,SKU0001,1,HomeGoods,124,322,11.29,9.93,3.76,12.48,17,0.98,26.47,1
2023-08-15,SKU0001,1,HomeGoods,65,322,8.43,9.8,3.56,6.63,17,0.98,26.47,1
2023-08-22,SKU0001,1,HomeGoods,0,322,9.29,9.57,3.92,0.0,17,0.98,26.47,1
2023-08-29,SKU0001,1,HomeGoods,0,322,0.0,7.4,5.6,0.0,17,0.98,26.47,1
2023-09-05,SKU0001,1,HomeGoods,0,322,0.0,5.33,6.14,0.0,17,0.98,26.47,1
2023-09-12,SKU0001,1,HomeGoods,0,322,0.0,2.93,5.1,0.0,17,0.98,26.47,1
2023-09-19,SKU0001,1,HomeGoods,0,322,0.0,0.37,2.01,0.0,17,0.98,26.47,1
2023-09-26,SKU0001,1,HomeGoods,290,0,4.57,1.07,2.85,271.88,17,0.98,26.47,0
2023-10-03,SKU0001,1,HomeGoods,231,0,8.43,3.03,4.25,76.15,17,0.98,26.47,0
2023-10-10,SKU0001,1,HomeGoods,155,322,10.86,5.57,5.38,27.84,17,0.98,26.47,0
2023-10-17,SKU0001,1,HomeGoods,98,322,8.14,7.47,4.61,13.12,17,0.98,26.47,0
2023-10-24,SKU0001,1,HomeGoods,27,322,10.14,9.27,3.75,2.91,17,0.98,26.47,0
2023-10-31,SKU0001,1,HomeGoods,278,0,10.14,9.67,3.74,28.76,17,0.98,26.47,0
2023-11-07,SKU0001,1,HomeGoods,206,0,10.29,9.93,3.27,20.74,17,0.98,26.47,0
2023-11-14,SKU0001,1,HomeGoods,129,322,11.0,10.2,3.62,12.65,17,0.98,26.47,0
2023-11-21,SKU0001,1,HomeGoods,54,322,10.71,10.37,3.19,5.21,17,0.98,26.47,0
2023-11-28,SKU0001,1,HomeGoods,305,0,10.14,10.4,3.55,29.33,17,0.98,26.47,0
2023-12-05,SKU0001,1,HomeGoods,222,0,11.86,10.87,3.45,20.43,17,0.98,26.47,0
2023-12-12,SKU0001,1,HomeGoods,149,322,10.43,10.87,3.21,13.71,17,0.98,26.47,1
2023-01-31,SKU0001,2,HomeGoods,64,509,16.43,16.0,3.77,4.0,17,0.98,26.47,0
2023-02-07,SKU0001,2,HomeGoods,465,0,15.43,15.87,3.12,29.31,17,0.98,26.47,0
2023-02-14,SKU0001,2,HomeGoods,387,0,11.14,14.77,4.17,26.21,17,0.98,26.47,0
2023-02-21,SKU0001,2,HomeGoods,304,0,11.86,14.03,4.27,21.66,17,0.98,26.47,0
2023-02-28,SKU0001,2,HomeGoods,209,509,13.57,13.43,4.33,15.56,17,0.98,26.47,0
2023-03-07,SKU0001,2,HomeGoods,108,509,14.43,12.93,4.26,8.35,17,0.98,26.47,0
2023-03-14,SKU0001,2,HomeGoods,528,0,12.71,13.3,3.8,39.7,17,0.98,26.47,0
2023-03-21,SKU0001,2,HomeGoods,434,0,13.43,13.63,3.84,31.83,17,0.98,26.47,0
2023-03-28,SKU0001,2,HomeGoods,354,0,11.43,12.87,3.39,27.51,17,0.98,26.47,0
2023-04-04,SKU0001,2,HomeGoods,267,509,12.43,12.5,3.39,21.36,17,0.98,26.47,0
2023-04-11,SKU0001,2,HomeGoods,176,509,13.0,12.47,3.51,14.12,17,0.98,26.47,0
2023-04-18,SKU0001,2,HomeGoods,588,0,13.86,12.57,3.61,46.79,17,0.98,26.47,0
2023-04-25,SKU0001,2,HomeGoods,493,0,13.57,13.2,3.58,37.35,17,0.98,26.47,0
2023-05-02,SKU0001,2,HomeGoods,376,0,16.71,14.13,3.83,26.6,17,0.98,26.47,0
2023-05-09,SKU0001,2,HomeGoods,283,509,13.29,14.43,3.63,19.61,17,0.98,26.47,0
2023-05-16,SKU0001,2,HomeGoods,209,509,10.57,13.6,3.98,15.37,17,0.98,26.47,0
2023-05-23,SKU0001,2,HomeGoods,110,509,14.14,13.67,4.06,8.05,17,0.98,26.47,0
2023-05-30,SKU0001,2,HomeGoods,534,0,12.14,12.7,3.4,42.05,17,0.98,26.47,0
2023-06-06,SKU0001,2,HomeGoods,435,0,14.14,12.77,3.55,34.07,17,0.98,26.47,0
2023-06-13,SKU0001,2,HomeGoods,324,0,15.86,13.93,3.53,23.25,17,0.98,26.47,0
2023-06-20,SKU0001,2,HomeGoods,235,509,12.71,13.97,3.45,16.83,17,0.98,26.47,0
2023-06-27,SKU0001,2,HomeGoods,148,509,12.43,13.53,3.7,10.94,17,0.98,26.47,0
2023-07-04,SKU0001,2,HomeGoods,575,0,11.71,13.3,3.65,43.23,17,0.98,26.47,0
2023-07-11,SKU0001,2,HomeGoods,488,0,12.43,12.57,3.63,38.83,17,0.98,26.47,0
2023-07-18,SKU0001,2,HomeGoods,415,0,10.43,11.67,3.61,35.57,17,0.98,26.47,0
2023-07-25,SKU0001,2,HomeGoods,314,0,14.43,12.57,4.18,24.99,17,0.98,26.47,0
2023-08-01,SKU0001,2,HomeGoods,217,509,13.86,12.63,4.13,17.18,17,0.98,26.47,0
2023-08-08,SKU0001,2,HomeGoods,127,509,12.86,12.9,4.84,9.84,17,0.98,26.47,1
2023-08-15,SKU0001,2,HomeGoods,16,509,15.86,14.07,5.11,1.14,17,0.98,26.47,1
2023-08-22,SKU0001,2,HomeGoods,0,509,2.29,11.33,7.03,0.0,17,0.98,26.47,1
2023-08-29,SKU0001,2,HomeGoods,0,509,0.0,8.0,7.99,0.0,17,0.98,26.47,1
2023-09-05,SKU0001,2,HomeGoods,0,509,0.0,5.07,7.4,0.0,17,0.98,26.47,1
2023-09-12,SKU0001,2,HomeGoods,0,509,0.0,1.6,4.63,0.0,17,0.98,26.47,1
2023-09-19,SKU0001,2,HomeGoods,438,0,10.14,2.37,5.59,185.07,17,0.98,26.47,0
2023-09-26,SKU0001,2,HomeGoods,330,0,15.43,5.97,7.79,55.31,17,0.98,26.47,0
2023-10-03,SKU0001,2,HomeGoods,239,509,13.0,9.0,7.6,26.56,17,0.98,26.47,0
2023-10-10,SKU0001,2,HomeGoods,141,509,14.0,12.27,6.05,11.49,17,0.98,26.47,0
2023-10-17,SKU0001,2,HomeGoods,547,0,14.71,14.23,3.67,38.43,17,0.98,26.47,0
2023-10-24,SKU0001,2,HomeGoods,452,0,13.57,13.73,3.36,32.91,17,0.98,26.47,0
2023-10-31,SKU0001,2,HomeGoods,355,0,13.86,14.23,3.11,24.94,17,0.98,26.47,0
2023-11-07,SKU0001,2,HomeGoods,219,509,19.43,15.37,4.16,14.25,17,0.98,26.47,1
2023-11-14,SKU0001,2,HomeGoods,83,509,19.43,16.7,4.57,4.97,17,0.98,26.47,1
2023-11-21,SKU0001,2,HomeGoods,478,0,16.29,16.8,6.0,28.45,17,0.98,26.47,0
2023-11-28,SKU0001,2,HomeGoods,338,0,20.0,18.67,6.26,18.11,17,0.98,26.47,0
2023-12-05,SKU0001,2,HomeGoods,216,509,17.43,18.43,6.11,11.72,17,0.98,26.47,0
2023-12-12,SKU0001,2,HomeGoods,99,509,16.71,17.97,6.28,5.51,17,0.98,26.47,0
2023-01-31,SKU0001,3,HomeGoods,766,0,26.14,28.23,5.66,27.13,17,0.98,26.47,0
2023-02-07,SKU0001,3,HomeGoods,601,0,23.57,26.1,5.33,23.03,17,0.98,26.47,0
2023-02-14,SKU0001,3,HomeGoods,451,760,21.43,24.83,6.13,18.16,17,0.98,26.47,0
2023-02-21,SKU0001,3,HomeGoods,279,760,24.57,24.37,6.64,11.45,17,0.98,26.47,0
2023-02-28,SKU0001,3,HomeGoods,901,0,19.71,23.03,6.6,39.12,17,0.98,26.47,0
2023-03-07,SKU0001,3,HomeGoods,749,0,21.71,22.37,6.27,33.49,17,0.98,26.47,0
2023-03-14,SKU0001,3,HomeGoods,594,0,22.14,21.9,5.45,27.12,17,0.98,26.47,0
2023-03-21,SKU0001,3,HomeGoods,440,760,22.0,21.83,4.53,20.15,17,0.98,26.47,0
2023-03-28,SKU0001,3,HomeGoods,277,760,23.29,21.97,4.23,12.61,17,0.98,26.47,0
2023-04-04,SKU0001,3,HomeGoods,863,0,24.86,23.47,4.52,36.78,17,0.98,26.47,0
2023-04-11,SKU0001,3,HomeGoods,728,0,19.29,22.3,4.79,32.65,17,0.98,26.47,0
2023-04-18,SKU0001,3,HomeGoods,582,0,20.86,22.2,4.84,26.22,17,0.98,26.47,0
2023-04-25,SKU0001,3,HomeGoods,417,760,23.57,22.27,5.09,18.73,17,0.98,26.47,0
2023-05-02,SKU0001,3,HomeGoods,238,760,25.57,22.23,5.07,10.7,17,0.98,26.47,0
2023-05-09,SKU0001,3,HomeGoods,840,0,22.57,22.83,5.5,36.79,17,0.98,26.47,0
2023-05-16,SKU0001,3,HomeGoods,686,0,22.0,23.23,5.55,29.53,17,0.98,26.47,0
2023-05-23,SKU0001,3,HomeGoods,540,0,20.86,22.93,5.51,23.55,17,0.98,26.47,0
2023-05-30,SKU0001,3,HomeGoods,386,760,22.0,22.1,4.49,17.47,17,0.98,26.47,0
2023-06-06,SKU0001,3,HomeGoods,230,760,22.29,22.43,4.34,10.25,17,0.98,26.47,0
2023-06-13,SKU0001,3,HomeGoods,840,0,21.43,21.6,4.43,38.89,17,0.98,26.47,0
2023-06-20,SKU0001,3,HomeGoods,669,0,24.43,22.37,5.33,29.91,17,0.98,26.47,0
2023-06-27,SKU0001,3,HomeGoods,510,0,22.71,22.53,5.31,22.63,17,0.98,26.47,0
2023-07-04,SKU0001,3,HomeGoods,355,760,22.14,22.47,5.69,15.8,17,0.98,26.47,0
2023-07-11,SKU0001,3,HomeGoods,212,760,20.43,22.77,5.39,9.31,17,0.98,26.47,0
2023-07-18,SKU0001,3,HomeGoods,793,0,25.57,23.2,4.85,34.18,17,0.98,26.47,0
2023-07-25,SKU0001,3,HomeGoods,664,0,18.43,21.57,4.96,30.79,17,0.98,26.47,0
2023-08-01,SKU0001,3,HomeGoods,496,0,24.0,22.27,5.3,22.28,17,0.98,26.47,0
2023-08-08,SKU0001,3,HomeGoods,337,760,22.71,22.67,4.63,14.87,17,0.98,26.47,1
2023-08-15,SKU0001,3,HomeGoods,160,760,25.29,22.73,4.77,7.04,17,0.98,26.47,1
2023-08-22,SKU0001,3,HomeGoods,0,760,22.86,23.43,5.35,0.0,17,0.98,26.47,1
2023-08-29,SKU0001,3,HomeGoods,0,760,0.0,18.17,11.32,0.0,17,0.98,26.47,1
2023-09-05,SKU0001,3,HomeGoods,0,760,0.0,12.93,13.1,0.0,17,0.98,26.47,1
2023-09-12,SKU0001,3,HomeGoods,0,760,0.0,7.07,11.6,0.0,17,0.98,26.47,1
2023-09-19,SKU0001,3,HomeGoods,0,760,0.0,1.23,5.44,0.0,17,0.98,26.47,1
2023-09-26,SKU0001,3,HomeGoods,622,0,19.71,4.6,9.43,135.22,17,0.98,26.47,0
2023-10-03,SKU0001,3,HomeGoods,474,760,21.14,9.53,11.36,49.72,17,0.98,26.47,0
2023-10-10,SKU0001,3,HomeGoods,304,760,24.29,15.2,11.45,20.0,17,0.98,26.47,0
2023-10-17,SKU0001,3,HomeGoods,130,760,24.86,21.0,8.47,6.19,17,0.98,26.47,0
2023-10-24,SKU0001,3,HomeGoods,723,0,23.86,23.6,5.28,30.64,17,0.98,26.47,0
2023-10-31,SKU0001,3,HomeGoods,588,0,19.29,22.97,5.36,25.6,17,0.98,26.47,0
2023-11-07,SKU0001,3,HomeGoods,390,760,28.29,24.03,6.15,16.23,17,0.98,26.47,0
2023-11-14,SKU0001,3,HomeGoods,174,760,30.86,26.0,6.77,6.69,17,0.98,26.47,0
2023-11-21,SKU0001,3,HomeGoods,732,0,28.86,27.03,6.68,27.08,17,0.98,26.47,0
2023-11-28,SKU0001,3,HomeGoods,527,0,29.29,28.7,6.08,18.36,17,0.98,26.47,0
2023-12-05,SKU0001,3,HomeGoods,303,760,32.0,30.07,5.81,10.08,17,0.98,26.47,1
2023-12-12,SKU0001,3,HomeGoods,51,760,36.0,31.53,7.4,1.62,17,0.98,26.47,1
2023-01-31,SKU0001,4,HomeGoods,647,0,37.43,37.07,6.79,17.46,17,0.98,26.47,0
2023-02-07,SKU0001,4,HomeGoods,447,888,28.57,35.47,7.27,12.6,17,0.98,26.47,0
2023-02-14,SKU0001,4,HomeGoods,250,888,28.14,32.87,7.16,7.61,17,0.98,26.47,0
2023-02-21,SKU0001,4,HomeGoods,908,0,32.86,31.93,6.75,28.43,17,0.98,26.47,0
2023-02-28,SKU0001,4,HomeGoods,700,0,29.71,30.57,5.83,22.9,17,0.98,26.47,0
2023-03-07,SKU0001,4,HomeGoods,476,888,32.0,30.47,5.26,15.62,17,0.98,26.47,0
2023-03-14,SKU0001,4,HomeGoods,289,888,26.71,30.07,5.3,9.61,17,0.98,26.47,0
2023-03-21,SKU0001,4,HomeGoods,970,0,29.57,29.87,4.69,32.48,17,0.98,26.47,0
2023-03-28,SKU0001,4,HomeGoods,747,0,31.86,30.37,5.18,24.6,17,0.98,26.47,0
2023-04-04,SKU0001,4,HomeGoods,521,888,32.29,30.47,5.06,17.1,17,0.98,26.47,0
2023-04-11,SKU0001,4,HomeGoods,298,888,31.86,30.77,5.09,9.69,17,0.98,26.47,0
2023-04-18,SKU0001,4,HomeGoods,1001,0,26.43,30.57,5.21,32.75,17,0.98,26.47,0
2023-04-25,SKU0001,4,HomeGoods,757,0,34.86,31.77,6.02,23.83,17,0.98,26.47,0
2023-05-02,SKU0001,4,HomeGoods,561,888,28.0,30.67,6.51,18.29,17,0.98,26.47,0
2023-05-09,SKU0001,4,HomeGoods,341,888,31.43,30.47,6.53,11.19,17,0.98,26.47,0
2023-05-16,SKU0001,4,HomeGoods,129,888,30.29,30.8,6.19,4.19,17,0.98,26.47,0
2023-05-23,SKU0001,4,HomeGoods,792,0,32.14,31.17,5.93,25.41,17,0.98,26.47,0
2023-05-30,SKU0001,4,HomeGoods,592,888,28.57,30.37,5.14,19.5,17,0.98,26.47,0
2023-06-06,SKU0001,4,HomeGoods,377,888,30.71,30.5,5.13,12.36,17,0.98,26.47,0
2023-06-13,SKU0001,4,HomeGoods,151,888,32.29,31.07,5.94,4.86,17,0.98,26.47,0
2023-06-20,SKU0001,4,HomeGoods,835,0,29.14,30.0,5.9,27.83,17,0.98,26.47,0
2023-06-27,SKU0001,4,HomeGoods,612,888,31.86,31.1,5.76,19.68,17,0.98,26.47,0
2023-07-04,SKU0001,4,HomeGoods,395,888,31.0,31.37,5.42,12.59,17,0.98,26.47,0
2023-07-11,SKU0001,4,HomeGoods,221,888,24.86,29.23,5.28,7.56,17,0.98,26.47,0
2023-07-18,SKU0001,4,HomeGoods,896,0,30.43,29.1,5.68,30.79,17,0.98,26.47,0
2023-07-25,SKU0001,4,HomeGoods,670,0,32.29,29.53,6.12,22.69,17,0.98,26.47,0
2023-08-01,SKU0001,4,HomeGoods,472,888,28.29,29.33,6.06,16.09,17,0.98,26.47,0
2023-08-08,SKU0001,4,HomeGoods,238,888,33.43,30.57,6.25,7.79,17,0.98,26.47,1
2023-08-15,SKU0001,4,HomeGoods,20,888,31.14,31.7,5.98,0.63,17,0.98,26.47,1
2023-08-22,SKU0001,4,HomeGoods,0,888,2.86,24.7,13.6,0.0,17,0.98,26.47,1
2023-08-29,SKU0001,4,HomeGoods,0,888,0.0,17.6,16.36,0.0,17,0.98,26.47,1
2023-09-05,SKU0001,4,HomeGoods,0,888,0.0,10.27,15.18,0.0,17,0.98,26.47,1
2023-09-12,SKU0001,4,HomeGoods,0,888,0.0,3.13,9.99,0.0,17,0.98,26.47,1
2023-09-19,SKU0001,4,HomeGoods,747,0,20.14,4.7,11.35,158.94,17,0.98,26.47,0
2023-09-26,SKU0001,4,HomeGoods,520,888,32.43,12.27,15.95,42.39,17,0.98,26.47,0
2023-10-03,SKU0001,4,HomeGoods,328,888,27.43,18.67,15.31,17.57,17,0.98,26.47,0
2023-10-10,SKU0001,4,HomeGoods,1004,0,30.29,25.73,11.96,39.02,17,0.98,26.47,0
2023-10-17,SKU0001,4,HomeGoods,785,0,31.29,30.0,5.92,26.17,17,0.98,26.47,0
2023-10-24,SKU0001,4,HomeGoods,584,888,28.71,29.47,5.48,19.82,17,0.98,26.47,0
2023-10-31,SKU0001,4,HomeGoods,375,888,29.86,29.97,6.44,12.51,17,0.98,26.47,0
2023-11-07,SKU0001,4,HomeGoods,105,888,38.57,32.2,8.02,3.26,17,0.98,26.47,0
2023-11-14,SKU0001,4,HomeGoods,695,0,42.57,35.07,8.87,19.82,17,0.98,26.47,0
2023-11-21,SKU0001,4,HomeGoods,436,888,37.0,36.37,8.68,11.99,17,0.98,26.47,0
2023-11-28,SKU0001,4,HomeGoods,170,888,38.0,39.1,6.69,4.35,17,0.98,26.47,0
2023-12-05,SKU0001,4,HomeGoods,798,0,37.14,38.67,5.7,20.64,17,0.98,26.47,0
2023-12-12,SKU0001,4,HomeGoods,529,888,38.43,38.03,4.92,13.91,17,0.98,26.47,1
2023-01-31,SKU0002,1,Grocery,205,0,9.43,8.43,3.31,24.31,10,0.94,24.95,0
2023-02-07,SKU0002,1,Grocery,143,0,8.86,8.63,3.17,16.56,10,0.94,24.95,0
2023-02-14,SKU0002,1,Grocery,83,219,8.57,8.5,3.15,9.76,10,0.94,24.95,0
2023-02-21,SKU0002,1,Grocery,247,0,7.86,8.63,2.99,28.61,10,0.94,24.95,0
2023-02-28,SKU0002,1,Grocery,178,0,9.86,8.9,3.22,20.0,10,0.94,24.95,0
2023-03-07,SKU0002,1,Grocery,104,219,10.57,9.1,3.95,11.43,10,0.94,24.95,0
2023-03-14,SKU0002,1,Grocery,38,219,9.43,9.53,3.86,3.99,10,0.94,24.95,0
2023-03-21,SKU0002,1,Grocery,194,0,9.0,9.53,4.34,20.35,10,0.94,24.95,0
2023-03-28,SKU0002,1,Grocery,134,0,8.57,9.3,4.15,14.41,10,0.94,24.95,0
2023-04-04,SKU0002,1,Grocery,90,219,6.29,8.27,3.68,10.89,10,0.94,24.95,0
2023-04-11,SKU0002,1,Grocery,253,0,8.0,8.2,3.59,30.85,10,0.94,24.95,0
2023-04-18,SKU0002,1,Grocery,197,0,8.0,7.8,2.83,25.26,10,0.94,24.95,0
2023-04-25,SKU0002,1,Grocery,137,0,8.57,7.83,2.7,17.49,10,0.94,24.95,0
2023-05-02,SKU0002,1,Grocery,69,219,9.71,8.43,2.62,8.18,10,0.94,24.95,0
2023-05-09,SKU0002,1,Grocery,225,0,9.0,8.63,2.48,26.06,10,0.94,24.95,0
2023-05-16,SKU0002,1,Grocery,176,0,7.0,8.5,2.57,20.71,10,0.94,24.95,0
2023-05-23,SKU0002,1,Grocery,106,219,10.0,9.03,2.43,11.73,10,0.94,24.95,0
2023-05-30,SKU0002,1,Grocery,47,219,8.43,8.87,2.61,5.3,10,0.94,24.95,0
2023-06-06,SKU0002,1,Grocery,214,0,7.43,8.4,2.88,25.48,10,0.94,24.95,0
2023-06-13,SKU0002,1,Grocery,152,0,8.86,8.77,2.9,17.34,10,0.94,24.95,0
2023-06-20,SKU0002,1,Grocery,90,219,8.86,8.5,3.19,10.59,10,0.94,24.95,0
2023-06-27,SKU0002,1,Grocery,251,0,8.29,8.53,3.01,29.41,10,0.94,24.95,0
2023-07-04,SKU0002,1,Grocery,195,0,8.0,8.37,2.72,23.31,10,0.94,24.95,0
2023-07-11,SKU0002,1,Grocery,146,0,7.0,8.13,2.79,17.95,10,0.94,24.95,0
2023-07-18,SKU0002,1,Grocery,75,219,10.14,8.43,2.81,8.89,10,0.94,24.95,0
2023-07-25,SKU0002,1,Grocery,247,0,6.71,7.97,2.94,31.0,10,0.94,24.95,0
2023-08-01,SKU0002,1,Grocery,181,0,9.43,8.23,3.17,21.98,10,0.94,24.95,0
2023-08-08,SKU0002,1,Grocery,129,0,7.43,8.27,3.07,15.6,10,0.94,24.95,0
2023-08-15,SKU0002,1,Grocery,64,219,9.29,8.4,3.3,7.62,10,0.94,24.95,0
2023-08-22,SKU0002,1,Grocery,223,0,8.57,8.5,3.37,26.24,10,0.94,24.95,0
2023-08-29,SKU0002,1,Grocery,163,0,8.57,8.5,3.42,19.18,10,0.94,24.95,0
2023-09-05,SKU0002,1,Grocery,103,219,8.57,8.77,3.19,11.75,10,0.94,24.95,0
2023-09-12,SKU0002,1,Grocery,37,219,9.43,8.67,2.9,4.27,10,0.94,24.95,0
2023-09-19,SKU0002,1,Grocery,203,0,7.57,8.37,3.01,24.26,10,0.94,24.95,0
2023-09-26,SKU0002,1,Grocery,137,0,9.43,8.73,2.7,15.69,10,0.94,24.95,0
2023-10-03,SKU0002,1,Grocery,70,219,9.57,9.07,2.77,7.72,10,0.94,24.95,0
2023-10-10,SKU0002,1,Grocery,241,0,6.86,8.67,2.99,27.81,10,0.94,24.95,0
2023-10-17,SKU0002,1,Grocery,194,0,6.71,8.37,2.61,23.19,10,0.94,24.95,0
2023-10-24,SKU0002,1,Grocery,131,0,9.0,8.07,2.95,16.24,10,0.94,24.95,0
2023-10-31,SKU0002,1,Grocery,75,219,8.0,7.97,3.33,9.41,10,0.94,24.95,0
2023-11-07,SKU0002,1,Grocery,210,0,12.0,8.83,3.57,23.77,10,0.94,24.95,0
2023-11-14,SKU0002,1,Grocery,131,0,11.29,9.87,3.67,13.28,10,0.94,24.95,0
2023-11-21,SKU0002,1,Grocery,51,219,11.43,10.93,3.49,4.66,10,0.94,24.95,0
2023-11-28,SKU0002,1,Grocery,185,0,12.14,11.4,3.5,16.23,10,0.94,24.95,1
2023-12-05,SKU0002,1,Grocery,78,219,15.29,12.47,4.34,6.26,10,0.94,24.95,1
2023-12-12,SKU0002,1,Grocery,0,219,11.14,12.63,4.66,0.0,10,0.94,24.95,0
2023-01-31,SKU0002,2,Grocery,82,0,4.86,5.2,1.83,15.77,10,0.94,24.95,0
2023-02-07,SKU0002,2,Grocery,42,121,5.71,5.27,1.6,7.97,10,0.94,24.95,0
2023-02-14,SKU0002,2,Grocery,138,0,3.57,4.73,2.0,29.15,10,0.94,24.95,0
2023-02-21,SKU0002,2,Grocery,98,0,5.71,5.03,2.39,19.47,10,0.94,24.95,0
2023-02-28,SKU0002,2,Grocery,74,121,3.43,4.7,2.6,15.74,10,0.94,24.95,0
2023-03-07,SKU0002,2,Grocery,35,121,5.57,4.6,2.7,7.61,10,0.94,24.95,0
2023-03-14,SKU0002,2,Grocery,114,0,6.0,5.17,2.69,22.06,10,0.94,24.95,0
2023-03-21,SKU0002,2,Grocery,84,0,4.29,4.87,2.71,17.26,10,0.94,24.95,0
2023-03-28,SKU0002,2,Grocery,47,121,5.29,5.13,2.39,9.16,10,0.94,24.95,0
2023-04-04,SKU0002,2,Grocery,133,0,5.0,5.13,2.5,25.91,10,0.94,24.95,0
2023-04-11,SKU0002,2,Grocery,100,0,4.71,4.83,2.17,20.69,10,0.94,24.95,0
2023-04-18,SKU0002,2,Grocery,65,121,5.0,5.07,2.13,12.83,10,0.94,24.95,0
2023-04-25,SKU0002,2,Grocery,14,121,7.29,5.4,2.67,2.59,10,0.94,24.95,0
2023-05-02,SKU0002,2,Grocery,91,0,6.29,5.8,2.59,15.69,10,0.94,24.95,0
2023-05-09,SKU0002,2,Grocery,58,121,4.71,5.77,2.66,10.06,10,0.94,24.95,0
2023-05-16,SKU0002,2,Grocery,128,0,7.29,6.4,2.69,20.0,10,0.94,24.95,0
2023-05-23,SKU0002,2,Grocery,104,0,3.43,5.57,2.49,18.68,10,0.94,24.95,0
2023-05-30,SKU0002,2,Grocery,73,0,4.43,5.17,2.34,14.13,10,0.94,24.95,0
2023-06-06,SKU0002,2,Grocery,42,121,4.43,4.9,2.22,8.57,10,0.94,24.95,0
2023-06-13,SKU0002,2,Grocery,125,0,5.43,4.8,2.19,26.04,10,0.94,24.95,0
2023-06-20,SKU0002,2,Grocery,93,0,4.57,4.67,1.88,19.93,10,0.94,24.95,0
2023-06-27,SKU0002,2,Grocery,54,121,5.57,5.07,2.18,10.66,10,0.94,24.95,0
2023-07-04,SKU0002,2,Grocery,140,0,5.0,5.2,2.28,26.92,10,0.94,24.95,0
2023-07-11,SKU0002,2,Grocery,113,0,3.86,4.87,2.46,23.22,10,0.94,24.95,0
2023-07-18,SKU0002,2,Grocery,76,0,5.29,4.93,2.56,15.41,10,0.94,24.95,0
2023-07-25,SKU0002,2,Grocery,34,121,6.0,5.03,2.53,6.75,10,0.94,24.95,0
2023-08-01,SKU0002,2,Grocery,120,0,5.0,4.93,2.46,24.32,10,0.94,24.95,0
2023-08-08,SKU0002,2,Grocery,95,0,3.57,4.83,2.32,19.66,10,0.94,24.95,0
