po_id,sku,warehouse_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,qty_ordered
41,SKU0001,4,5,2023-10-22,2023-11-08,2023-11-08,888
42,SKU0001,4,5,2023-11-16,2023-12-03,2023-12-03,888
43,SKU0001,4,5,2023-12-09,2023-12-26,2023-12-26,888
44,SKU0002,1,2,2023-01-15,2023-01-25,2023-01-25,219
45,SKU0002,1,2,2023-02-10,2023-02-20,2023-02-20,219
46,SKU0002,1,2,2023-03-05,2023-03-15,2023-03-15,219
47,SKU0002,1,2,2023-03-30,2023-04-09,2023-04-09,219
48,SKU0002,1,2,2023-04-27,2023-05-07,2023-05-07,219
49,SKU0002,1,2,2023-05-22,2023-06-01,2023-06-03,219
50,SKU0002,1,2,2023-06-16,2023-06-26,2023-06-26,219
51,SKU0002,1,2,2023-07-14,2023-07-24,2023-07-24,219
52,SKU0002,1,2,2023-08-09,2023-08-19,2023-08-19,219
53,SKU0002,1,2,2023-09-04,2023-09-14,2023-09-14,219
54,SKU0002,1,2,2023-09-28,2023-10-08,2023-10-08,219
55,SKU0002,1,2,2023-10-25,2023-11-04,2023-11-04,219
56,SKU0002,1,2,2023-11-16,2023-11-26,2023-11-26,219
57,SKU0002,1,2,2023-12-03,2023-12-13,2023-12-13,219
58,SKU0002,1,2,2023-12-19,2023-12-29,2024-01-03,219
59,SKU0002,2,2,2023-01-08,2023-01-18,2023-01-18,121
60,SKU0002,2,2,2023-02-01,2023-02-11,2023-02-11,121
61,SKU0002,2,2,2023-02-27,2023-03-09,2023-03-09,121
62,SKU0002,2,2,2023-03-23,2023-04-02,2023-04-02,121
63,SKU0002,2,2,2023-04-16,2023-04-26,2023-04-26,121
64,SKU0002,2,2,2023-05-06,2023-05-16,2023-05-16,121
65,SKU0002,2,2,2023-05-30,2023-06-09,2023-06-09,121
66,SKU0002,2,2,2023-06-22,2023-07-02,2023-07-02,121
67,SKU0002,2,2,2023-07-18,2023-07-28,2023-07-28,121
68,SKU0002,2,2,2023-08-11,2023-08-21,2023-08-21,121
69,SKU0002,2,2,2023-09-03,2023-09-13,2023-09-13,121
70,SKU0002,2,2,2023-09-27,2023-10-07,2023-10-07,121
71,SKU0002,2,2,2023-10-19,2023-10-29,2023-10-29,121
72,SKU0002,2,2,2023-11-11,2023-11-21,2023-11-21,121
73,SKU0002,2,2,2023-11-29,2023-12-09,2023-12-09,121
74,SKU0002,2,2,2023-12-16,2023-12-26,2023-12-26,121
75,SKU0002,3,2,2023-01-13,2023-01-23,2023-01-23,218
76,SKU0002,3,2,2023-02-07,2023-02-17,2023-02-17,218
77,SKU0002,3,2,2023-03-06,2023-03-16,2023-03-16,218
78,SKU0002,3,2,2023-03-28,2023-04-07,2023-04-07,218
79,SKU0002,3,2,2023-04-20,2023-04-30,2023-04-30,218
80,SKU0002,3,2,2023-05-11,2023-05-21,2023-05-21,218
81,SKU0002,3,2,2023-06-03,2023-06-13,2023-06-13,218
82,SKU0002,3,2,2023-06-28,2023-07-08,2023-07-08,218
83,SKU0002,3,2,2023-07-21,2023-07-31,2023-07-31,218
84,SKU0002,3,2,2023-08-12,2023-08-22,2023-08-22,218
85,SKU0002,3,2,2023-09-06,2023-09-16,2023-09-16,218
86,SKU0002,3,2,2023-09-27,2023-10-07,2023-10-07,218
87,SKU0002,3,2,2023-10-20,2023-10-30,2023-10-30,218
88,SKU0002,3,2,2023-11-10,2023-11-20,2023-11-20,218
89,SKU0002,3,2,2023-11-29,2023-12-09,2023-12-09,218
90,SKU0002,3,2,2023-12-15,2023-12-25,2023-12-25,218
91,SKU0002,4,2,2023-01-06,2023-01-16,2023-01-16,522
92,SKU0002,4,2,2023-02-01,2023-02-11,2023-02-11,522
93,SKU0002,4,2,2023-02-25,2023-03-07,2023-03-07,522
94,SKU0002,4,2,2023-03-23,2023-04-02,2023-04-02,522
95,SKU0002,4,2,2023-04-17,2023-04-27,2023-04-27,522
96,SKU0002,4,2,2023-05-12,2023-05-22,2023-05-22,522
97,SKU0002,4,2,2023-06-07,2023-06-17,2023-06-17,522
98,SKU0002,4,2,2023-07-01,2023-07-11,2023-07-11,522
99,SKU0002,4,2,2023-07-27,2023-08-06,2023-08-06,522
100,SKU0002,4,2,2023-08-19,2023-08-29,2023-09-02,522
101,SKU0002,4,2,2023-09-12,2023-09-22,2023-09-22,522
102,SKU0002,4,2,2023-10-07,2023-10-17,2023-10-17,522
103,SKU0002,4,2,2023-10-31,2023-11-10,2023-11-10,522
104,SKU0002,4,2,2023-11-20,2023-11-30,2023-11-30,522
105,SKU0002,4,2,2023-12-08,2023-12-18,2023-12-18,522
106,SKU0002,4,2,2023-12-24,2024-01-03,2024-01-03,522
107,SKU0003,1,4,2023-01-02,2023-01-11,2023-01-11,543
108,SKU0003,1,4,2023-01-14,2023-01-23,2023-01-23,543
109,SKU0003,1,4,2023-01-25,2023-02-03,2023-02-03,543
110,SKU0003,1,4,2023-02-06,2023-02-15,2023-02-21,543
111,SKU0003,1,4,2023-02-21,2023-03-02,2023-03-02,543
112,SKU0003,1,4,2023-03-06,2023-03-15,2023-03-15,543
113,SKU0003,1,4,2023-03-21,2023-03-30,2023-03-30,543
114,SKU0003,1,4,2023-04-04,2023-04-13,2023-04-15,543
115,SKU0003,1,4,2023-04-19,2023-04-28,2023-04-28,543
116,SKU0003,1,4,2023-05-02,2023-05-11,2023-05-11,543
117,SKU0003,1,4,2023-05-17,2023-05-26,2023-05-26,543
118,SKU0003,1,4,2023-05-30,2023-06-08,2023-06-08,543
119,SKU0003,1,4,2023-06-14,2023-06-23,2023-06-23,543
120,SKU0003,1,4,2023-06-29,2023-07-08,2023-07-08,543
121,SKU0003,1,4,2023-07-13,2023-07-22,2023-07-22,543
122,SKU0003,1,4,2023-07-28,2023-08-06,2023-08-06,543
123,SKU0003,1,4,2023-08-10,2023-08-19,2023-08-19,543
124,SKU0003,1,4,2023-08-25,2023-09-03,2023-09-03,543
125,SKU0003,1,4,2023-09-08,2023-09-17,2023-09-19,543
126,SKU0003,1,4,2023-09-22,2023-10-01,2023-10-03,543
127,SKU0003,1,4,2023-10-06,2023-10-15,2023-10-15,543
128,SKU0003,1,4,2023-10-20,2023-10-29,2023-10-29,543
129,SKU0003,1,4,2023-11-02,2023-11-11,2023-11-11,543
130,SKU0003,1,4,2023-11-13,2023-11-22,2023-11-24,543
131,SKU0003,1,4,2023-11-24,2023-12-03,2023-12-03,543
132,SKU0003,1,4,2023-12-04,2023-12-13,2023-12-13,543
133,SKU0003,1,4,2023-12-14,2023-12-23,2023-12-23,543
134,SKU0003,1,4,2023-12-24,2024-01-02,2024-01-02,543
135,SKU0003,2,4,2023-01-07,2023-01-16,2023-01-16,647
136,SKU0003,2,4,2023-01-25,2023-02-03,2023-02-03,647
137,SKU0003,2,4,2023-02-16,2023-02-25,2023-02-25,647
138,SKU0003,2,4,2023-03-10,2023-03-19,2023-03-19,647
139,SKU0003,2,4,2023-04-02,2023-04-11,2023-04-11,647
140,SKU0003,2,4,2023-04-25,2023-05-04,2023-05-04,647
141,SKU0003,2,4,2023-05-18,2023-05-27,2023-05-27,647
142,SKU0003,2,4,2023-06-10,2023-06-19,2023-06-19,647
143,SKU0003,2,4,2023-07-04,2023-07-13,2023-07-13,647
144,SKU0003,2,4,2023-07-26,2023-08-04,2023-08-04,647
145,SKU0003,2,4,2023-08-18,2023-08-27,2023-08-27,647
146,SKU0003,2,4,2023-09-12,2023-09-21,2023-09-24,647
147,SKU0003,2,4,2023-10-04,2023-10-13,2023-10-13,647
148,SKU0003,2,4,2023-10-25,2023-11-03,2023-11-10,647
149,SKU0003,2,4,2023-11-19,2023-11-28,2023-11-28,647
150,SKU0003,2,4,2023-12-06,2023-12-15,2023-12-15,647
151,SKU0003,2,4,2023-12-23,2024-01-01,2024-01-01,647
152,SKU0003,3,4,2023-01-13,2023-01-22,2023-01-24,555
153,SKU0003,3,4,2023-02-02,2023-02-11,2023-02-11,555
154,SKU0003,3,4,2023-02-24,2023-03-05,2023-03-05,555
155,SKU0003,3,4,2023-03-18,2023-03-27,2023-03-31,555
156,SKU0003,3,4,2023-04-10,2023-04-19,2023-04-19,555
157,SKU0003,3,4,2023-05-01,2023-05-10,2023-05-10,555
158,SKU0003,3,4,2023-05-25,2023-06-03,2023-06-03,555
159,SKU0003,3,4,2023-06-15,2023-06-24,2023-06-24,555
160,SKU0003,3,4,2023-07-09,2023-07-18,2023-07-25,555
161,SKU0003,3,4,2023-08-03,2023-08-12,2023-08-14,555
162,SKU0003,3,4,2023-08-24,2023-09-02,2023-09-02,555
163,SKU0003,3,4,2023-09-17,2023-09-26,2023-09-28,555
164,SKU0003,3,4,2023-10-11,2023-10-20,2023-10-26,555
165,SKU0003,3,4,2023-11-05,2023-11-14,2023-11-18,555
166,SKU0003,3,4,2023-11-25,2023-12-04,2023-12-04,555
167,SKU0003,3,4,2023-12-12,2023-12-21,2023-12-21,555
168,SKU0003,3,4,2023-12-29,2024-01-07,2024-01-07,555
169,SKU0003,4,4,2023-01-12,2023-01-21,2023-01-21,741
170,SKU0003,4,4,2023-01-31,2023-02-09,2023-02-09,741
171,SKU0003,4,4,2023-02-20,2023-03-01,2023-03-01,741
172,SKU0003,4,4,2023-03-15,2023-03-24,2023-03-24,741
173,SKU0003,4,4,2023-04-06,2023-04-15,2023-04-15,741
174,SKU0003,4,4,2023-04-28,2023-05-07,2023-05-10,741
175,SKU0003,4,4,2023-05-20,2023-05-29,2023-05-31,741
176,SKU0003,4,4,2023-06-10,2023-06-19,2023-06-19,741
177,SKU0003,4,4,2023-07-02,2023-07-11,2023-07-11,741
178,SKU0003,4,4,2023-07-25,2023-08-03,2023-08-03,741
179,SKU0003,4,4,2023-08-17,2023-08-26,2023-08-26,741
180,SKU0003,4,4,2023-09-07,2023-09-16,2023-09-21,741
181,SKU0003,4,4,2023-09-30,2023-10-09,2023-10-09,741
182,SKU0003,4,4,2023-10-21,2023-10-30,2023-10-30,741
183,SKU0003,4,4,2023-11-11,2023-11-20,2023-11-20,741
184,SKU0003,4,4,2023-11-28,2023-12-07,2023-12-14,741
185,SKU0003,4,4,2023-12-20,2023-12-29,2023-12-29,741
186,SKU0004,1,2,2023-01-12,2023-01-22,2023-01-22,237
187,SKU0004,1,2,2023-02-04,2023-02-14,2023-02-14,237
188,SKU0004,1,2,2023-02-26,2023-03-08,2023-03-08,237
189,SKU0004,1,2,2023-03-20,2023-03-30,2023-03-30,237
190,SKU0004,1,2,2023-04-11,2023-04-21,2023-04-21,237
191,SKU0004,1,2,2023-05-02,2023-05-12,2023-05-12,237
192,SKU0004,1,2,2023-05-22,2023-06-01,2023-06-01,237
193,SKU0004,1,2,2023-06-14,2023-06-24,2023-06-24,237
194,SKU0004,1,2,2023-07-03,2023-07-13,2023-07-13,237
195,SKU0004,1,2,2023-07-23,2023-08-02,2023-08-02,237
196,SKU0004,1,2,2023-08-14,2023-08-24,2023-08-24,237
197,SKU0004,1,2,2023-09-05,2023-09-15,2023-09-15,237
198,SKU0004,1,2,2023-09-27,2023-10-07,2023-10-07,237
199,SKU0004,1,2,2023-10-16,2023-10-26,2023-11-01,237
200,SKU0004,1,2,2023-11-04,2023-11-14,2023-11-14,237
201,SKU0004,1,2,2023-11-17,2023-11-27,2023-11-27,237
202,SKU0004,1,2,2023-12-01,2023-12-11,2023-12-17,237
203,SKU0004,1,2,2023-12-20,2023-12-30,2023-12-30,237
204,SKU0004,2,2,2023-01-01,2023-01-11,2023-01-11,94
205,SKU0004,2,2,2023-01-18,2023-01-28,2023-01-28,94
206,SKU0004,2,2,2023-02-02,2023-02-12,2023-02-12,94
207,SKU0004,2,2,2023-02-19,2023-03-01,2023-03-01,94
208,SKU0004,2,2,2023-03-09,2023-03-19,2023-03-19,94
209,SKU0004,2,2,2023-03-27,2023-04-06,2023-04-06,94
210,SKU0004,2,2,2023-04-11,2023-04-21,2023-04-21,94
211,SKU0004,2,2,2023-04-26,2023-05-06,2023-05-06,94
212,SKU0004,2,2,2023-05-09,2023-05-19,2023-05-19,94
213,SKU0004,2,2,2023-05-28,2023-06-07,2023-06-09,94
214,SKU0004,2,2,2023-06-17,2023-06-27,2023-06-27,94
215,SKU0004,2,2,2023-07-05,2023-07-15,2023-07-15,94
216,SKU0004,2,2,2023-07-21,2023-07-31,2023-07-31,94
217,SKU0004,2,2,2023-08-06,2023-08-16,2023-08-16,94
218,SKU0004,2,2,2023-08-24,2023-09-03,2023-09-03,94
219,SKU0004,2,2,2023-09-09,2023-09-19,2023-09-24,94
220,SKU0004,2,2,2023-09-27,2023-10-07,2023-10-07,94
221,SKU0004,2,2,2023-10-14,2023-10-24,2023-10-24,94
222,SKU0004,2,2,2023-10-29,2023-11-08,2023-11-08,94
223,SKU0004,2,2,2023-11-08,2023-11-18,2023-11-18,94
224,SKU0004,2,2,2023-11-18,2023-11-28,2023-11-28,94
225,SKU0004,2,2,2023-11-28,2023-12-08,2023-12-08,94
226,SKU0004,2,2,2023-12-08,2023-12-18,2023-12-18,94
227,SKU0004,2,2,2023-12-18,2023-12-28,2023-12-28,94
228,SKU0004,2,2,2023-12-28,2024-01-07,2024-01-07,94
229,SKU0004,3,2,2023-01-07,2023-01-17,2023-01-17,470
230,SKU0004,3,2,2023-01-30,2023-02-09,2023-02-09,470
231,SKU0004,3,2,2023-02-21,2023-03-03,2023-03-03,470
232,SKU0004,3,2,2023-03-18,2023-03-28,2023-03-28,470
233,SKU0004,3,2,2023-04-13,2023-04-23,2023-04-23,470
234,SKU0004,3,2,2023-05-08,2023-05-18,2023-05-18,470
235,SKU0004,3,2,2023-06-01,2023-06-11,2023-06-11,470
236,SKU0004,3,2,2023-06-25,2023-07-05,2023-07-05,470
237,SKU0004,3,2,2023-07-20,2023-07-30,2023-07-30,470
238,SKU0004,3,2,2023-08-14,2023-08-24,2023-08-24,470
239,SKU0004,3,2,2023-09-06,2023-09-16,2023-09-16,470
240,SKU0004,3,2,2023-09-29,2023-10-09,2023-10-09,470
241,SKU0004,3,2,2023-10-22,2023-11-01,2023-11-01,470
242,SKU0004,3,2,2023-11-09,2023-11-19,2023-11-19,470
243,SKU0004,3,2,2023-11-22,2023-12-02,2023-12-02,470
244,SKU0004,3,2,2023-12-06,2023-12-16,2023-12-16,470
245,SKU0004,3,2,2023-12-19,2023-12-29,2023-12-29,470
246,SKU0004,4,2,2023-01-08,2023-01-18,2023-01-18,742
247,SKU0004,4,2,2023-01-29,2023-02-08,2023-02-08,742
248,SKU0004,4,2,2023-02-17,2023-02-27,2023-02-27,742
249,SKU0004,4,2,2023-03-11,2023-03-21,2023-03-21,742
250,SKU0004,4,2,2023-03-31,2023-04-10,2023-04-10,742
251,SKU0004,4,2,2023-04-21,2023-05-01,2023-05-01,742
252,SKU0004,4,2,2023-05-13,2023-05-23,2023-05-23,742
253,SKU0004,4,2,2023-06-04,2023-06-14,2023-06-14,742
254,SKU0004,4,2,2023-06-24,2023-07-04,2023-07-04,742
255,SKU0004,4,2,2023-07-15,2023-07-25,2023-07-25,742
256,SKU0004,4,2,2023-08-06,2023-08-16,2023-08-16,742
257,SKU0004,4,2,2023-08-27,2023-09-06,2023-09-06,742
258,SKU0004,4,2,2023-09-15,2023-09-25,2023-09-25,742
259,SKU0004,4,2,2023-10-07,2023-10-17,2023-10-17,742
260,SKU0004,4,2,2023-10-29,2023-11-08,2023-11-08,742
261,SKU0004,4,2,2023-11-13,2023-11-23,2023-11-23,742
262,SKU0004,4,2,2023-11-27,2023-12-07,2023-12-07,742
263,SKU0004,4,2,2023-12-11,2023-12-21,2023-12-21,742
264,SKU0004,4,2,2023-12-25,2024-01-04,2024-01-04,742
265,SKU0005,1,7,2023-01-05,2023-01-11,2023-01-14,495
266,SKU0005,1,7,2023-01-21,2023-01-27,2023-01-30,495
267,SKU0005,1,7,2023-02-05,2023-02-11,2023-02-14,495
268,SKU0005,1,7,2023-02-21,2023-02-27,2023-03-02,495
269,SKU0005,1,7,2023-03-09,2023-03-15,2023-03-15,495
270,SKU0005,1,7,2023-03-24,2023-03-30,2023-03-30,495
271,SKU0005,1,7,2023-04-08,2023-04-14,2023-04-14,495
272,SKU0005,1,7,2023-04-22,2023-04-28,2023-05-03,495
273,SKU0005,1,7,2023-05-09,2023-05-15,2023-05-15,495
274,SKU0005,1,7,2023-05-25,2023-05-31,2023-05-31,495
275,SKU0005,1,7,2023-06-09,2023-06-15,2023-06-15,495
276,SKU0005,1,7,2023-06-23,2023-06-29,2023-06-29,495
277,SKU0005,1,7,2023-07-07,2023-07-13,2023-07-15,495
278,SKU0005,1,7,2023-07-21,2023-07-27,2023-07-27,495
279,SKU0005,1,7,2023-08-04,2023-08-10,2023-08-10,495
280,SKU0005,1,7,2023-08-20,2023-08-26,2023-08-30,495
281,SKU0005,1,7,2023-09-04,2023-09-10,2023-09-10,495
282,SKU0005,1,7,2023-09-20,2023-09-26,2023-09-26,495
283,SKU0005,1,7,2023-10-05,2023-10-11,2023-10-11,495
284,SKU0005,1,7,2023-10-20,2023-10-26,2023-10-26,495
285,SKU0005,1,7,2023-11-02,2023-11-08,2023-11-08,495
286,SKU0005,1,7,2023-11-11,2023-11-17,2023-11-17,495
287,SKU0005,1,7,2023-11-20,2023-11-26,2023-11-26,495
288,SKU0005,1,7,2023-11-29,2023-12-05,2023-12-05,495
289,SKU0005,1,7,2023-12-07,2023-12-13,2023-12-13,495
290,SKU0005,1,7,2023-12-15,2023-12-21,2023-12-21,495
291,SKU0005,1,7,2023-12-24,2023-12-30,2023-12-30,495
292,SKU0005,2,7,2023-01-09,2023-01-15,2023-01-15,360
293,SKU0005,2,7,2023-01-23,2023-01-29,2023-01-29,360
294,SKU0005,2,7,2023-02-05,2023-02-11,2023-02-11,360
295,SKU0005,2,7,2023-02-21,2023-02-27,2023-02-27,360
296,SKU0005,2,7,2023-03-07,2023-03-13,2023-03-17,360
297,SKU0005,2,7,2023-03-22,2023-03-28,2023-03-30,360
298,SKU0005,2,7,2023-04-04,2023-04-10,2023-04-10,360
299,SKU0005,2,7,2023-04-19,2023-04-25,2023-04-25,360
300,SKU0005,2,7,2023-05-05,2023-05-11,2023-05-11,360
301,SKU0005,2,7,2023-05-19,2023-05-25,2023-05-25,360
302,SKU0005,2,7,2023-06-01,2023-06-07,2023-06-07,360
303,SKU0005,2,7,2023-06-16,2023-06-22,2023-06-22,360
304,SKU0005,2,7,2023-06-30,2023-07-06,2023-07-06,360
305,SKU0005,2,7,2023-07-16,2023-07-22,2023-07-22,360
306,SKU0005,2,7,2023-07-31,2023-08-06,2023-08-06,360
307,SKU0005,2,7,2023-08-15,2023-08-21,2023-08-21,360
308,SKU0005,2,7,2023-08-30,2023-09-05,2023-09-05,360
309,SKU0005,2,7,2023-09-12,2023-09-18,2023-09-18,360
310,SKU0005,2,7,2023-09-26,2023-10-02,2023-10-02,360
311,SKU0005,2,7,2023-10-11,2023-10-17,2023-10-17,360
312,SKU0005,2,7,2023-10-25,2023-10-31,2023-10-31,360
313,SKU0005,2,7,2023-11-04,2023-11-10,2023-11-10,360
314,SKU0005,2,7,2023-11-13,2023-11-19,2023-11-25,360
315,SKU0005,2,7,2023-11-27,2023-12-03,2023-12-03,360
316,SKU0005,2,7,2023-12-05,2023-12-11,2023-12-11,360
317,SKU0005,2,7,2023-12-13,2023-12-19,2023-12-19,360
318,SKU0005,2,7,2023-12-20,2023-12-26,2024-01-02,360
319,SKU0005,3,7,2023-01-11,2023-01-17,2023-01-24,41
320,SKU0005,3,7,2023-01-27,2023-02-02,2023-02-08,41
321,SKU0005,3,7,2023-02-13,2023-02-19,2023-02-19,41
322,SKU0005,3,7,2023-03-02,2023-03-08,2023-03-08,41
323,SKU0005,3,7,2023-03-17,2023-03-23,2023-03-27,41
324,SKU0005,3,7,2023-03-30,2023-04-05,2023-04-05,41
325,SKU0005,3,7,2023-04-10,2023-04-16,2023-04-16,41
326,SKU0005,3,7,2023-04-22,2023-04-28,2023-04-28,41
327,SKU0005,3,7,2023-05-05,2023-05-11,2023-05-11,41
328,SKU0005,3,7,2023-05-19,2023-05-25,2023-05-28,41
329,SKU0005,3,7,2023-05-31,2023-06-06,2023-06-12,41
330,SKU0005,3,7,2023-06-15,2023-06-21,2023-06-21,41
331,SKU0005,3,7,2023-06-27,2023-07-03,2023-07-06,41
332,SKU0005,3,7,2023-07-11,2023-07-17,2023-07-17,41
333,SKU0005,3,7,2023-07-24,2023-07-30,2023-07-30,41
334,SKU0005,3,7,2023-08-03,2023-08-09,2023-08-09,41
335,SKU0005,3,7,2023-08-15,2023-08-21,2023-08-21,41
336,SKU0005,3,7,2023-08-27,2023-09-02,2023-09-02,41
337,SKU0005,3,7,2023-09-09,2023-09-15,2023-09-15,41
338,SKU0005,3,7,2023-09-25,2023-10-01,2023-10-01,41
339,SKU0005,3,7,2023-10-05,2023-10-11,2023-10-11,41
340,SKU0005,3,7,2023-10-21,2023-10-27,2023-10-27,41
341,SKU0005,3,7,2023-11-01,2023-11-07,2023-11-07,41
342,SKU0005,3,7,2023-11-10,2023-11-16,2023-11-23,41
343,SKU0005,3,7,2023-11-25,2023-12-01,2023-12-01,41
344,SKU0005,3,7,2023-12-02,2023-12-08,2023-12-08,41
345,SKU0005,3,7,2023-12-09,2023-12-15,2023-12-15,41
346,SKU0005,3,7,2023-12-17,2023-12-23,2023-12-23,41
347,SKU0005,3,7,2023-12-24,2023-12-30,2023-12-30,41
348,SKU0005,4,7,2023-01-02,2023-01-08,2023-01-08,262
349,SKU0005,4,7,2023-01-17,2023-01-23,2023-01-23,262
350,SKU0005,4,7,2023-01-29,2023-02-04,2023-02-04,262
351,SKU0005,4,7,2023-02-13,2023-02-19,2023-02-19,262
352,SKU0005,4,7,2023-02-27,2023-03-05,2023-03-05,262
353,SKU0005,4,7,2023-03-12,2023-03-18,2023-03-18,262
354,SKU0005,4,7,2023-03-27,2023-04-02,2023-04-02,262
355,SKU0005,4,7,2023-04-08,2023-04-14,2023-04-14,262
356,SKU0005,4,7,2023-04-24,2023-04-30,2023-04-30,262
357,SKU0005,4,7,2023-05-06,2023-05-12,2023-05-12,262
358,SKU0005,4,7,2023-05-20,2023-05-26,2023-05-26,262
359,SKU0005,4,7,2023-06-03,2023-06-09,2023-06-16,262
360,SKU0005,4,7,2023-06-21,2023-06-27,2023-06-27,262
361,SKU0005,4,7,2023-07-04,2023-07-10,2023-07-10,262
362,SKU0005,4,7,2023-07-18,2023-07-24,2023-07-24,262
363,SKU0005,4,7,2023-08-01,2023-08-07,2023-08-13,262
364,SKU0005,4,7,2023-08-17,2023-08-23,2023-08-23,262
365,SKU0005,4,7,2023-08-31,2023-09-06,2023-09-06,262
366,SKU0005,4,7,2023-09-15,2023-09-21,2023-09-21,262
367,SKU0005,4,7,2023-09-30,2023-10-06,2023-10-08,262
368,SKU0005,4,7,2023-10-13,2023-10-19,2023-10-19,262
369,SKU0005,4,7,2023-10-27,2023-11-02,2023-11-04,262
370,SKU0005,4,7,2023-11-06,2023-11-12,2023-11-12,262
371,SKU0005,4,7,2023-11-14,2023-11-20,2023-11-20,262
372,SKU0005,4,7,2023-11-22,2023-11-28,2023-12-03,262
373,SKU0005,4,7,2023-12-04,2023-12-10,2023-12-13,262
374,SKU0005,4,7,2023-12-14,2023-12-20,2023-12-20,262
375,SKU0005,4,7,2023-12-22,2023-12-28,2024-01-02,262
376,SKU0006,1,7,2023-01-12,2023-01-18,2023-01-18,424
377,SKU0006,1,7,2023-01-31,2023-02-06,2023-02-06,424
378,SKU0006,1,7,2023-02-15,2023-02-21,2023-02-21,424
379,SKU0006,1,7,2023-03-02,2023-03-08,2023-03-08,424
380,SKU0006,1,7,2023-03-18,2023-03-24,2023-03-24,424
381,SKU0006,1,7,2023-04-01,2023-04-07,2023-04-07,424
382,SKU0006,1,7,2023-04-17,2023-04-23,2023-04-23,424
383,SKU0006,1,7,2023-05-02,2023-05-08,2023-05-08,424
384,SKU0006,1,7,2023-05-17,2023-05-23,2023-05-23,424
385,SKU0006,1,7,2023-06-01,2023-06-07,2023-06-07,424
386,SKU0006,1,7,2023-06-16,2023-06-22,2023-06-29,424
387,SKU0006,1,7,2023-07-06,2023-07-12,2023-07-12,424
388,SKU0006,1,7,2023-07-21,2023-07-27,2023-07-27,424
389,SKU0006,1,7,2023-08-04,2023-08-10,2023-08-10,424
390,SKU0006,1,7,2023-08-19,2023-08-25,2023-08-25,424
391,SKU0006,1,7,2023-09-03,2023-09-09,2023-09-09,424
392,SKU0006,1,7,2023-09-18,2023-09-24,2023-09-24,424
393,SKU0006,1,7,2023-10-04,2023-10-10,2023-10-10,424
394,SKU0006,1,7,2023-10-19,2023-10-25,2023-10-25,424
395,SKU0006,1,7,2023-11-02,2023-11-08,2023-11-15,424
396,SKU0006,1,7,2023-11-18,2023-11-24,2023-11-24,424
397,SKU0006,1,7,2023-11-28,2023-12-04,2023-12-04,424
